subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
3,visual,external,30,25,1,uni,16--23,9--21,2,9,16--23,9--21,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,22.5,1,uni,18--27,14--24,1,13,14--24,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,37.5,1,uni,20--28,17--26,2,17,20--28,17--26,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,35,1,uni,3--8,4--11,1,18,4--11,3--8,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,20,1,uni,2--6,14--24,1,22,14--24,2--6,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,30,1,uni,1--10,15--25,2,25,1--10,15--25,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,40,1,uni,7--19,17--26,1,26,17--26,7--19,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,40,2,uni,7--19,9--21,2,34,7--19,9--21,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,25,2,uni,16--23,4--11,1,38,4--11,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,35,2,uni,3--8,5--13,1,41,5--13,3--8,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,22.5,2,uni,18--27,17--26,1,42,17--26,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,37.5,2,uni,20--28,9--21,2,50,20--28,9--21,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,30,2,uni,1--10,15--25,1,53,15--25,1--10,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,20,2,uni,2--6,5--13,1,54,5--13,2--6,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,30,3,uni,1--10,15--25,2,57,1--10,15--25,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,20,3,uni,2--6,17--26,2,62,2--6,17--26,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,37.5,3,uni,20--28,4--11,2,65,20--28,4--11,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,35,3,uni,3--8,14--24,2,66,3--8,14--24,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,40,3,uni,7--19,5--13,2,70,7--19,5--13,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,22.5,3,uni,18--27,15--25,2,73,18--27,15--25,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,25,3,uni,16--23,17--26,1,81,17--26,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,20,4,uni,2--6,12--22,2,89,2--6,12--22,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,25,4,uni,16--23,15--25,2,90,16--23,15--25,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,22.5,4,uni,18--27,14--24,1,93,14--24,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,30,4,uni,1--10,9--21,2,94,1--10,9--21,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,35,4,uni,3--8,15--25,2,98,3--8,15--25,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,40,4,uni,7--19,14--24,2,102,7--19,14--24,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,37.5,4,uni,20--28,12--22,2,106,20--28,12--22,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,37.5,5,uni,20--28,17--26,2,113,20--28,17--26,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,22.5,5,uni,18--27,12--22,1,117,12--22,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,20,5,uni,2--6,4--11,1,118,4--11,2--6,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,35,5,uni,3--8,12--22,2,122,3--8,12--22,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,40,5,uni,7--19,14--24,2,130,7--19,14--24,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,25,5,uni,16--23,14--24,1,137,14--24,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,external,30,30,5,uni,1--10,9--21,2,138,1--10,9--21,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,internal,30,25,1,uni,7--19,15--25,1,4,15--25,7--19,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,internal,30,37.5,1,uni,16--23,14--24,2,7,16--23,14--24,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,internal,30,22.5,1,uni,20--28,15--25,1,11,15--25,20--28,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
3,visual,internal,30,20,1,uni,3--8,12--22,1,12,12--22,3--8,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
