subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
3,visual,internal,30,25,1,uni,1--10,5--13,2,2,1--10,5--13,25,30,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,20,1,uni,16--23,4--11,2,4,16--23,4--11,20,30,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,22.5,1,uni,7--19,15--25,2,6,7--19,15--25,22.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,35,1,uni,3--8,12--22,2,8,3--8,12--22,35,30,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,30,1,uni,2--6,9--21,2,10,2--6,9--21,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,40,1,uni,20--28,14--24,1,12,14--24,20--28,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,37.5,1,uni,18--27,17--26,1,14,17--26,18--27,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,25,2,uni,1--10,15--25,1,16,15--25,1--10,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,37.5,2,uni,18--27,5--13,1,18,5--13,18--27,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,20,2,uni,16--23,4--11,1,20,4--11,16--23,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,22.5,2,uni,7--19,17--26,1,22,17--26,7--19,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,35,2,uni,3--8,9--21,1,24,9--21,3--8,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,30,2,uni,2--6,12--22,1,26,12--22,2--6,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
3,visual,internal,30,40,2,uni,20--28,14--24,2,28,20--28,14--24,40,30,0,30,0.8,0,1,0,0,NA,NA,NA
