subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
3,proprio,external,30,40,1,uni,1--10,12--22,1,2,12--22,1--10,30,40,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,35,1,uni,20--28,15--25,1,4,17--26,20--28,30,35,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,22.5,1,uni,18--27,14--24,2,5,18--27,15--25,22.5,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,37.5,1,uni,3--8,9--21,1,7,9--21,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,25,1,uni,2--6,14--24,2,10,2--6,14--24,25,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,20,1,uni,16--23,9--21,2,11,16--23,15--25,20,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,30,1,uni,7--19,12--22,1,17,17--26,7--19,30,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,25,2,uni,2--6,17--26,1,22,12--22,2--6,30,25,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,22.5,2,uni,18--27,9--21,2,25,18--27,5--13,22.5,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,40,2,uni,1--10,15--25,2,26,1--10,12--22,40,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,35,2,uni,20--28,4--11,1,28,9--21,20--28,30,35,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,30,2,uni,7--19,14--24,1,35,14--24,7--19,30,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,37.5,2,uni,3--8,5--13,2,37,3--8,4--11,37.5,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,20,2,uni,16--23,15--25,1,40,4--11,16--23,30,20,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,30,3,uni,7--19,9--21,1,43,4--11,7--19,30,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,25,3,uni,2--6,4--11,2,44,2--6,9--21,25,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,20,3,uni,16--23,15--25,1,46,5--13,16--23,30,20,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,40,3,uni,1--10,9--21,2,47,1--10,17--26,40,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,37.5,3,uni,3--8,17--26,1,56,9--21,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,22.5,3,uni,18--27,5--13,2,58,18--27,14--24,22.5,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,35,3,uni,20--28,12--22,2,59,20--28,12--22,35,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,40,4,uni,1--10,5--13,1,64,15--25,1--10,30,40,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,25,4,uni,2--6,4--11,2,65,2--6,14--24,25,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,22.5,4,uni,18--27,14--24,2,73,18--27,12--22,22.5,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,30,4,uni,7--19,17--26,2,76,7--19,17--26,30,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,35,4,uni,20--28,12--22,1,79,15--25,20--28,30,35,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,37.5,4,uni,3--8,15--25,1,80,12--22,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,20,4,uni,16--23,15--25,2,83,16--23,5--13,20,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,22.5,5,uni,18--27,9--21,1,85,12--22,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,20,5,uni,16--23,12--22,2,91,16--23,15--25,20,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,25,5,uni,2--6,4--11,1,94,5--13,2--6,30,25,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,30,5,uni,7--19,15--25,2,98,7--19,12--22,30,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,35,5,uni,20--28,14--24,2,101,20--28,4--11,35,30,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,40,5,uni,1--10,5--13,1,103,9--21,1--10,30,40,0,30,1,0,0,NA,NA,NA
3,proprio,external,30,37.5,5,uni,3--8,5--13,2,104,3--8,4--11,37.5,30,0,30,1,0,0,NA,NA,NA
3,visual,internal,30,37.5,1,uni,7--19,15--25,2,3,7--19,15--25,37.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,30,1,uni,18--27,4--11,2,6,18--27,14--24,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,35,1,uni,2--6,9--21,1,9,5--13,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,40,1,uni,20--28,17--26,2,12,20--28,12--22,40,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,22.5,1,uni,1--10,5--13,2,15,1--10,17--26,22.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,20,1,uni,3--8,12--22,2,18,3--8,9--21,20,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,25,1,uni,16--23,14--24,1,21,4--11,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,20,2,uni,3--8,9--21,1,24,14--24,3--8,30,20,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,22.5,2,uni,1--10,15--25,2,27,1--10,15--25,22.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,35,2,uni,2--6,4--11,1,30,4--11,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,30,2,uni,18--27,14--24,1,33,17--26,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,40,2,uni,20--28,17--26,2,36,20--28,5--13,40,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,37.5,2,uni,7--19,12--22,2,39,7--19,9--21,37.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,25,2,uni,16--23,5--13,2,42,16--23,12--22,25,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,25,3,uni,16--23,12--22,1,45,5--13,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,30,3,uni,18--27,15--25,1,48,15--25,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,22.5,3,uni,1--10,9--21,2,51,1--10,9--21,22.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,20,3,uni,3--8,5--13,2,54,3--8,14--24,20,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,35,3,uni,2--6,4--11,2,57,2--6,4--11,35,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,37.5,3,uni,7--19,17--26,1,60,17--26,7--19,30,37.5,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,40,3,uni,20--28,14--24,2,63,20--28,12--22,40,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,25,4,uni,16--23,9--21,2,66,16--23,17--26,25,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,35,4,uni,2--6,4--11,2,69,2--6,14--24,35,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,22.5,4,uni,1--10,14--24,1,72,4--11,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,20,4,uni,3--8,17--26,2,75,3--8,15--25,20,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,37.5,4,uni,7--19,15--25,1,78,12--22,7--19,30,37.5,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,40,4,uni,20--28,12--22,2,81,20--28,5--13,40,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,30,4,uni,18--27,5--13,2,84,18--27,9--21,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,20,5,uni,3--8,15--25,1,87,14--24,3--8,30,20,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,37.5,5,uni,7--19,17--26,2,90,7--19,12--22,37.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,40,5,uni,20--28,14--24,2,93,20--28,15--25,40,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,35,5,uni,2--6,9--21,2,96,2--6,17--26,35,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,22.5,5,uni,1--10,5--13,2,99,1--10,9--21,22.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,25,5,uni,16--23,12--22,1,102,5--13,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
3,visual,internal,30,30,5,uni,18--27,4--11,1,105,4--11,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,37.5,1,uni,16--23,15--25,2,1,16--23,14--24,37.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,22.5,1,uni,7--19,17--26,1,8,5--13,7--19,30,22.5,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,20,1,uni,2--6,17--26,2,13,2--6,4--11,20,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,25,1,uni,20--28,4--11,2,14,20--28,4--11,25,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,35,1,uni,1--10,5--13,1,16,9--21,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,40,1,uni,18--27,5--13,2,19,18--27,12--22,40,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,30,1,uni,3--8,4--11,1,20,5--13,3--8,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,20,2,uni,2--6,14--24,1,23,9--21,2--6,30,20,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,37.5,2,uni,16--23,17--26,2,29,16--23,5--13,37.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,35,2,uni,1--10,9--21,1,31,15--25,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,25,2,uni,20--28,5--13,2,32,20--28,17--26,25,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,22.5,2,uni,7--19,4--11,2,34,7--19,14--24,22.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,40,2,uni,18--27,12--22,1,38,15--25,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,30,2,uni,3--8,12--22,1,41,17--26,3--8,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,20,3,uni,2--6,14--24,2,49,2--6,4--11,20,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,25,3,uni,20--28,17--26,1,50,12--22,20--28,30,25,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,40,3,uni,18--27,4--11,1,52,14--24,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,22.5,3,uni,7--19,15--25,1,53,17--26,7--19,30,22.5,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,35,3,uni,1--10,14--24,1,55,15--25,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,30,3,uni,3--8,12--22,2,61,3--8,15--25,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,37.5,3,uni,16--23,5--13,2,62,16--23,5--13,37.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,25,4,uni,20--28,17--26,1,67,9--21,20--28,30,25,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,20,4,uni,2--6,9--21,2,68,2--6,14--24,20,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,40,4,uni,18--27,9--21,1,70,4--11,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,35,4,uni,1--10,12--22,1,71,5--13,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,30,4,uni,3--8,5--13,2,74,3--8,4--11,30,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,37.5,4,uni,16--23,14--24,2,77,16--23,9--21,37.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,22.5,4,uni,7--19,4--11,2,82,7--19,17--26,22.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,22.5,5,uni,7--19,9--21,2,86,7--19,14--24,22.5,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,20,5,uni,2--6,17--26,2,88,2--6,9--21,20,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,25,5,uni,20--28,17--26,1,89,17--26,20--28,30,25,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,40,5,uni,18--27,14--24,1,92,14--24,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,37.5,5,uni,16--23,15--25,1,95,5--13,16--23,30,37.5,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,35,5,uni,1--10,4--11,2,97,1--10,17--26,35,30,0,30,0.8,0,0,NA,NA,NA
3,visual,external,30,30,5,uni,3--8,12--22,1,100,15--25,3--8,30,30,0,30,0.8,0,0,NA,NA,NA
3,none,external,30,35,1,none,16--23,15--25,2,1,16--23,15--25,35,30,0,30,0.8,0,1,NA,NA,NA
3,none,external,30,40,1,none,1--10,5--13,1,3,5--13,1--10,30,40,0,30,0.8,0,1,NA,NA,NA
3,none,external,30,30,1,none,20--28,4--11,2,5,20--28,4--11,30,30,0,30,0.8,0,1,NA,NA,NA
3,none,external,30,25,1,none,18--27,14--24,1,7,14--24,18--27,30,25,0,30,0.8,0,1,NA,NA,NA
3,none,external,30,37.5,1,none,7--19,9--21,2,9,7--19,9--21,37.5,30,0,30,0.8,0,1,NA,NA,NA
3,none,external,30,20,1,none,2--6,17--26,2,11,2--6,17--26,20,30,0,30,0.8,0,1,NA,NA,NA
3,none,external,30,22.5,1,none,3--8,12--22,1,13,12--22,3--8,30,22.5,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,37.5,1,none,18--27,14--24,1,2,14--24,18--27,30,37.5,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,30,1,none,2--6,17--26,2,4,2--6,17--26,30,30,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,40,1,none,20--28,4--11,2,6,20--28,4--11,40,30,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,35,1,none,3--8,12--22,1,8,12--22,3--8,30,35,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,22.5,1,none,7--19,9--21,1,10,9--21,7--19,30,22.5,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,20,1,none,16--23,15--25,2,12,16--23,15--25,20,30,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,25,1,none,1--10,5--13,2,14,1--10,5--13,25,30,0,30,0.8,0,1,NA,NA,NA
3,none,internal,30,35,1,none,3--8,12--22,2,2,3--8,12--22,35,30,0,30,0.8,1,1,NA,NA,NA
3,none,internal,30,40,1,none,20--28,4--11,1,4,4--11,20--28,30,40,0,30,0.8,1,1,NA,NA,NA
3,none,internal,30,30,1,none,2--6,17--26,2,6,2--6,17--26,30,30,0,30,0.8,1,1,NA,NA,NA
3,none,internal,30,22.5,1,none,7--19,9--21,2,8,7--19,9--21,22.5,30,0,30,0.8,1,1,NA,NA,NA
3,none,internal,30,25,1,none,1--10,5--13,1,10,5--13,1--10,30,25,0,30,0.8,1,1,NA,NA,NA
