"subj","mod","co","standard","stim","block","mod2","stim_letter","standard_letter","ord.st","trial","stim1","stim2","stim1_let","stim2_let","incongruency","visual_real_standard","blur","resp"
1,"visual","external",30,35,1,"uni","1--10","5--13",2,55,"35","30","1--10","5--13",0,30,0.5,NA
1,"multi_cong","internal",30,22.5,1,"multi","7--19","17--26",1,56,"30","22.5","17--26","7--19",0,30,0.5,NA
1,"multi_cong","internal",30,37.5,1,"multi","16--23","17--26",1,57,"30","37.5","17--26","16--23",0,30,0.5,NA
1,"visual","internal",30,37.5,1,"uni","20--28","15--25",2,58,"37.5","30","20--28","15--25",0,30,0.5,NA
1,"multi_V","internal",30,20,1,"multi","16--23","4--11",2,59,"20","30","16--23","4--11",5,35,0.5,NA
1,"visual","internal",30,40,1,"uni","3--8","5--13",2,60,"40","30","3--8","5--13",0,30,0.5,NA
1,"multi_P","external",30,40,1,"multi","16--23","9--21",2,61,"40","30","16--23","9--21",-5,25,0.5,NA
1,"visual","external",30,30,1,"uni","3--8","5--13",2,62,"30","30","3--8","5--13",0,30,0.5,NA
1,"multi_P","external",30,22.5,1,"multi","2--6","4--11",2,63,"22.5","30","2--6","4--11",-5,25,0.5,NA
1,"visual","external",30,25,1,"uni","20--28","9--21",1,64,"30","25","9--21","20--28",0,30,0.5,NA
1,"proprio","external",30,20,1,"multi","16--23","12--22",2,65,"20","30","16--23","12--22",0,30,1,NA
1,"proprio","internal",30,22.5,1,"multi","3--8","9--21",1,66,"30","22.5","9--21","3--8",0,30,1,NA
1,"multi_cong","internal",30,40,1,"multi","18--27","9--21",2,67,"40","30","18--27","9--21",0,30,0.5,NA
1,"multi_P","internal",30,30,1,"multi","18--27","15--25",2,68,"30","30","18--27","15--25",-5,25,0.5,NA
1,"multi_P","internal",30,22.5,1,"multi","1--10","12--22",1,69,"30","22.5","12--22","1--10",-5,25,0.5,NA
1,"multi_P","internal",30,25,1,"multi","16--23","12--22",1,70,"30","25","12--22","16--23",-5,25,0.5,NA
