subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
7,proprio,external,30,20,1,uni,16--23,14--24,1,5,14--24,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,35,1,uni,7--19,12--22,1,9,12--22,7--19,30,35,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,40,1,uni,18--27,14--24,2,14,18--27,14--24,40,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,30,1,uni,20--28,4--11,1,21,4--11,20--28,30,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,25,1,uni,3--8,9--21,1,22,9--21,3--8,30,25,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,22.5,1,uni,1--10,12--22,2,25,1--10,12--22,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,37.5,1,uni,2--6,17--26,1,26,17--26,2--6,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,25,2,uni,3--8,17--26,1,33,17--26,3--8,30,25,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,35,2,uni,7--19,9--21,1,37,9--21,7--19,30,35,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,37.5,2,uni,2--6,12--22,2,38,2--6,12--22,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,22.5,2,uni,1--10,14--24,2,41,1--10,14--24,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,40,2,uni,18--27,5--13,2,49,18--27,5--13,40,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,30,2,uni,20--28,17--26,2,50,20--28,17--26,30,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,20,2,uni,16--23,4--11,1,54,4--11,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,25,3,uni,3--8,9--21,1,58,9--21,3--8,30,25,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,20,3,uni,16--23,14--24,1,61,14--24,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,22.5,3,uni,1--10,17--26,1,62,17--26,1--10,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,37.5,3,uni,2--6,4--11,1,65,4--11,2--6,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,30,3,uni,20--28,4--11,1,69,4--11,20--28,30,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,35,3,uni,7--19,15--25,2,70,7--19,15--25,35,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,40,3,uni,18--27,14--24,2,77,18--27,14--24,40,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,37.5,4,uni,2--6,4--11,2,86,2--6,4--11,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
7,proprio,external,30,35,4,uni,7--19,12--22,1,90,12--22,7--19,30,35,0,30,1,0,0,0,0,NA,NA,NA
