subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
5,visual,external,30,30,1,uni,3--8,14--24,2,1,3--8,14--24,30,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,40,1,uni,18--27,12--22,2,2,18--27,17--26,40,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,35,1,uni,1--10,12--22,2,5,1--10,12--22,35,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,20,1,uni,2--6,17--26,2,7,2--6,14--24,20,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,37.5,1,uni,16--23,14--24,1,11,15--25,16--23,30,37.5,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,22.5,1,uni,7--19,5--13,2,14,7--19,4--11,22.5,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,25,1,uni,20--28,4--11,2,19,20--28,9--21,25,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,22.5,2,uni,7--19,17--26,2,25,7--19,9--21,22.5,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,37.5,2,uni,16--23,4--11,2,26,16--23,4--11,37.5,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,25,2,uni,20--28,5--13,1,29,4--11,20--28,30,25,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,20,2,uni,2--6,17--26,2,32,2--6,17--26,20,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,30,2,uni,3--8,5--13,2,34,3--8,15--25,30,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,35,2,uni,1--10,12--22,2,35,1--10,14--24,35,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,40,2,uni,18--27,12--22,1,38,5--13,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,25,3,uni,20--28,17--26,2,44,20--28,17--26,25,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,30,3,uni,3--8,15--25,2,47,3--8,9--21,30,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,37.5,3,uni,16--23,9--21,2,50,16--23,4--11,37.5,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,40,3,uni,18--27,12--22,1,52,5--13,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,22.5,3,uni,7--19,12--22,2,53,7--19,5--13,22.5,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,20,3,uni,2--6,4--11,2,56,2--6,12--22,20,30,0,30,0.8,0,0,NA,NA,NA
5,visual,external,30,35,3,uni,1--10,14--24,1,62,15--25,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
