subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
1,proprio,external,30,30,1,uni,7--19,5--13,2,1,7--19,15--25,30,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,35,1,uni,20--28,4--11,2,2,20--28,4--11,35,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,22.5,1,uni,18--27,15--25,2,7,18--27,12--22,22.5,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,25,1,uni,2--6,9--21,1,10,14--24,2--6,30,25,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,37.5,1,uni,3--8,9--21,1,11,17--26,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,20,1,uni,16--23,14--24,1,13,17--26,16--23,30,20,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,40,1,uni,1--10,12--22,2,17,1--10,15--25,40,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,40,2,uni,1--10,14--24,1,22,9--21,1--10,30,40,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,30,2,uni,7--19,4--11,1,25,12--22,7--19,30,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,25,2,uni,2--6,12--22,1,31,14--24,2--6,30,25,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,20,2,uni,16--23,15--25,1,32,12--22,16--23,30,20,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,22.5,2,uni,18--27,9--21,1,35,9--21,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,37.5,2,uni,3--8,17--26,1,40,5--13,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,35,2,uni,20--28,12--22,2,41,20--28,4--11,35,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,37.5,3,uni,3--8,12--22,2,43,3--8,12--22,37.5,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,25,3,uni,2--6,17--26,2,50,2--6,15--25,25,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,35,3,uni,20--28,9--21,1,52,17--26,20--28,30,35,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,20,3,uni,16--23,17--26,2,55,16--23,5--13,20,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,30,3,uni,7--19,14--24,2,56,7--19,12--22,30,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,22.5,3,uni,18--27,15--25,1,58,9--21,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,40,3,uni,1--10,5--13,2,59,1--10,17--26,40,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,35,4,uni,20--28,5--13,2,64,20--28,9--21,35,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,30,4,uni,7--19,4--11,2,67,7--19,12--22,30,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,25,4,uni,2--6,15--25,2,68,2--6,4--11,25,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,22.5,4,uni,18--27,15--25,2,70,18--27,17--26,22.5,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,37.5,4,uni,3--8,5--13,1,73,14--24,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,40,4,uni,1--10,4--11,1,76,5--13,1--10,30,40,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,20,4,uni,16--23,17--26,1,80,9--21,16--23,30,20,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,35,5,uni,20--28,17--26,2,88,20--28,12--22,35,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,40,5,uni,1--10,4--11,2,91,1--10,15--25,40,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,22.5,5,uni,18--27,5--13,1,92,17--26,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,25,5,uni,2--6,14--24,2,94,2--6,17--26,25,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,30,5,uni,7--19,9--21,1,98,14--24,7--19,30,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,20,5,uni,16--23,9--21,2,100,16--23,4--11,20,30,0,30,1,0,0,NA,NA,NA
1,proprio,external,30,37.5,5,uni,3--8,15--25,1,104,5--13,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
1,visual,internal,30,25,1,uni,16--23,15--25,2,3,16--23,12--22,25,30,0,30,0.8,0,0,NA,NA,NA
1,visual,internal,30,40,1,uni,20--28,12--22,1,6,5--13,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
