subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
2,visual,external,30,25,1,uni,18--27,12--22,1,1,12--22,18--27,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,30,1,uni,20--28,9--21,2,3,20--28,9--21,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,20,1,uni,2--6,4--11,2,5,2--6,4--11,20,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,22.5,1,uni,3--8,14--24,2,7,3--8,14--24,22.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,37.5,1,uni,7--19,15--25,2,9,7--19,15--25,37.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,40,1,uni,1--10,17--26,1,11,17--26,1--10,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,35,1,uni,16--23,5--13,2,13,16--23,5--13,35,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,22.5,2,uni,3--8,5--13,1,15,5--13,3--8,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,20,2,uni,2--6,4--11,2,17,2--6,4--11,20,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,30,2,uni,20--28,15--25,1,19,15--25,20--28,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,25,2,uni,18--27,9--21,1,21,9--21,18--27,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,35,2,uni,16--23,14--24,2,23,16--23,14--24,35,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,37.5,2,uni,7--19,17--26,2,25,7--19,17--26,37.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,40,2,uni,1--10,12--22,2,27,1--10,12--22,40,30,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,22.5,3,uni,3--8,9--21,1,29,9--21,3--8,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
2,visual,external,30,35,3,uni,16--23,15--25,2,31,16--23,15--25,35,30,0,30,0.8,0,1,0,0,NA,NA,NA
