subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
4,visual,external,30,40,2,uni,1--10,9--21,1,23,9--21,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,35,2,uni,16--23,12--22,2,25,16--23,12--22,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,20,2,uni,2--6,15--25,1,27,15--25,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,25,3,uni,18--27,9--21,2,29,18--27,9--21,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,35,3,uni,16--23,5--13,1,31,5--13,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,30,3,uni,20--28,17--26,1,33,17--26,20--28,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,37.5,3,uni,7--19,4--11,2,35,7--19,4--11,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,22.5,3,uni,3--8,15--25,2,37,3--8,15--25,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,20,3,uni,2--6,14--24,1,39,14--24,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,40,3,uni,1--10,12--22,1,41,12--22,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,22.5,4,uni,3--8,12--22,2,43,3--8,12--22,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,30,4,uni,20--28,17--26,1,45,17--26,20--28,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,37.5,4,uni,7--19,15--25,2,47,7--19,15--25,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,25,4,uni,18--27,5--13,1,49,5--13,18--27,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,20,4,uni,2--6,4--11,2,51,2--6,4--11,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,35,4,uni,16--23,14--24,1,53,14--24,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,40,4,uni,1--10,9--21,2,55,1--10,9--21,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,30,5,uni,20--28,14--24,1,57,14--24,20--28,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,35,5,uni,16--23,17--26,1,59,17--26,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,20,5,uni,2--6,4--11,2,61,2--6,4--11,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,40,5,uni,1--10,5--13,2,63,1--10,5--13,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,22.5,5,uni,3--8,15--25,1,65,15--25,3--8,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,25,5,uni,18--27,9--21,2,67,18--27,9--21,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
4,visual,external,30,37.5,5,uni,7--19,12--22,2,69,7--19,12--22,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
