subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
2,visual,external,30,25,1,uni,18--27,9--21,1,1,9--21,18--27,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,20,1,uni,2--6,12--22,1,3,12--22,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,37.5,1,uni,7--19,14--24,1,5,14--24,7--19,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,35,1,uni,16--23,5--13,2,7,16--23,5--13,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,30,1,uni,20--28,17--26,2,9,20--28,17--26,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,22.5,1,uni,3--8,4--11,2,11,3--8,4--11,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,40,1,uni,1--10,15--25,1,13,15--25,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,35,2,uni,16--23,12--22,2,15,16--23,12--22,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,25,2,uni,18--27,15--25,2,17,18--27,15--25,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,22.5,2,uni,3--8,9--21,2,19,3--8,9--21,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,30,2,uni,20--28,4--11,2,21,20--28,4--11,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,37.5,2,uni,7--19,17--26,1,23,17--26,7--19,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,40,2,uni,1--10,5--13,1,25,5--13,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,20,2,uni,2--6,14--24,2,27,2--6,14--24,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,22.5,3,uni,3--8,15--25,2,29,3--8,15--25,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,35,3,uni,16--23,4--11,2,31,16--23,4--11,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,37.5,3,uni,7--19,12--22,2,33,7--19,12--22,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,20,3,uni,2--6,17--26,1,35,17--26,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
2,visual,external,30,40,3,uni,1--10,9--21,2,37,1--10,9--21,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
