subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
10,visual,external,30,20,1,uni,2--6,5--13,2,5,2--6,5--13,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,35,1,uni,3--8,9--21,1,6,9--21,3--8,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,30,1,uni,1--10,15--25,1,13,15--25,1--10,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,37.5,1,uni,20--28,17--26,2,18,20--28,17--26,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,40,1,uni,7--19,4--11,2,21,7--19,4--11,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,22.5,1,uni,18--27,9--21,2,25,18--27,9--21,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,25,1,uni,16--23,14--24,1,26,14--24,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,22.5,2,uni,18--27,14--24,2,33,18--27,14--24,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,25,2,uni,16--23,17--26,1,37,17--26,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,20,2,uni,2--6,9--21,1,38,9--21,2--6,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,35,2,uni,3--8,4--11,2,42,3--8,4--11,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,30,2,uni,1--10,5--13,1,45,5--13,1--10,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,40,2,uni,7--19,15--25,2,46,7--19,15--25,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,37.5,2,uni,20--28,12--22,1,50,12--22,20--28,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,37.5,3,uni,20--28,9--21,1,57,9--21,20--28,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,30,3,uni,1--10,14--24,1,62,14--24,1--10,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,25,3,uni,16--23,9--21,1,66,9--21,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,20,3,uni,2--6,5--13,2,74,2--6,5--13,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,22.5,3,uni,18--27,15--25,1,77,15--25,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,35,3,uni,3--8,4--11,2,78,3--8,4--11,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,40,3,uni,7--19,17--26,2,82,7--19,17--26,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,35,4,uni,3--8,12--22,1,85,12--22,3--8,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,20,4,uni,2--6,17--26,2,89,2--6,17--26,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,37.5,4,uni,20--28,17--26,2,90,20--28,17--26,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,25,4,uni,16--23,12--22,1,93,12--22,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,40,4,uni,7--19,15--25,1,97,15--25,7--19,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,30,4,uni,1--10,5--13,2,105,1--10,5--13,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,22.5,4,uni,18--27,9--21,2,106,18--27,9--21,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,25,5,uni,16--23,9--21,2,113,16--23,9--21,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,30,5,uni,1--10,15--25,2,118,1--10,15--25,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,20,5,uni,2--6,12--22,2,122,2--6,12--22,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,22.5,5,uni,18--27,9--21,1,125,9--21,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,37.5,5,uni,20--28,12--22,2,130,20--28,12--22,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,35,5,uni,3--8,5--13,1,133,5--13,3--8,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
10,visual,external,30,40,5,uni,7--19,14--24,2,138,7--19,14--24,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
10,proprio,external,30,30,1,uni,20--28,14--24,2,1,20--28,14--24,30,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,40,1,uni,18--27,12--22,1,2,12--22,18--27,30,40,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,35,1,uni,7--19,5--13,1,9,5--13,7--19,30,35,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,20,1,uni,16--23,17--26,2,10,16--23,17--26,20,30,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,25,1,uni,3--8,12--22,1,14,12--22,3--8,30,25,0,30,1,0,0,0,0,NA,NA,NA
10,proprio,external,30,37.5,1,uni,2--6,4--11,1,17,4--11,2--6,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
