subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
2,visual,internal,30,25,2,uni,16--23,15--25,2,27,16--23,17--26,25,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,37.5,2,uni,7--19,12--22,2,30,7--19,15--25,37.5,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,35,2,uni,2--6,4--11,1,33,14--24,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,40,2,uni,20--28,9--21,2,36,20--28,12--22,40,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,20,2,uni,3--8,5--13,2,39,3--8,5--13,20,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,22.5,2,uni,1--10,17--26,1,42,4--11,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,30,3,uni,18--27,5--13,1,45,5--13,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,20,3,uni,3--8,14--24,1,48,17--26,3--8,30,20,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,25,3,uni,16--23,17--26,1,51,4--11,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,40,3,uni,20--28,15--25,1,54,9--21,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,22.5,3,uni,1--10,12--22,1,57,12--22,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,35,3,uni,2--6,9--21,1,60,14--24,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,37.5,3,uni,7--19,4--11,1,63,15--25,7--19,30,37.5,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,25,4,uni,16--23,4--11,1,66,9--21,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,37.5,4,uni,7--19,9--21,1,69,5--13,7--19,30,37.5,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,40,4,uni,20--28,15--25,1,72,12--22,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,22.5,4,uni,1--10,12--22,2,75,1--10,15--25,22.5,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,20,4,uni,3--8,17--26,2,78,3--8,4--11,20,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,35,4,uni,2--6,14--24,1,81,17--26,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,30,4,uni,18--27,5--13,1,84,14--24,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,25,5,uni,16--23,4--11,1,87,5--13,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,20,5,uni,3--8,17--26,1,90,4--11,3--8,30,20,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,30,5,uni,18--27,15--25,1,93,12--22,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,37.5,5,uni,7--19,14--24,2,96,7--19,14--24,37.5,30,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,35,5,uni,2--6,9--21,1,99,17--26,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
2,visual,internal,30,22.5,5,uni,1--10,5--13,1,102,15--25,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
