subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
5,visual,internal,30,20,1,uni,3--8,15--25,2,3,3--8,15--25,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,1,uni,20--28,14--24,2,6,20--28,14--24,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,1,uni,7--19,12--22,2,9,7--19,12--22,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,1,uni,18--27,4--11,1,12,4--11,18--27,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,1,uni,2--6,9--21,1,15,9--21,2--6,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,1,uni,1--10,17--26,2,18,1--10,17--26,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,1,uni,16--23,5--13,2,21,16--23,5--13,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,2,uni,7--19,4--11,2,24,7--19,4--11,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,2,uni,3--8,15--25,2,27,3--8,15--25,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,2,uni,18--27,9--21,2,30,18--27,9--21,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,2,uni,20--28,12--22,2,33,20--28,12--22,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,2,uni,16--23,5--13,1,36,5--13,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,2,uni,1--10,17--26,2,39,1--10,17--26,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,2,uni,2--6,14--24,1,42,14--24,2--6,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,3,uni,7--19,5--13,2,45,7--19,5--13,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,3,uni,18--27,4--11,1,48,4--11,18--27,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,3,uni,1--10,9--21,2,51,1--10,9--21,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,3,uni,20--28,14--24,1,54,14--24,20--28,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,3,uni,3--8,15--25,1,57,15--25,3--8,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,3,uni,2--6,12--22,2,60,2--6,12--22,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,3,uni,16--23,17--26,1,63,17--26,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,4,uni,1--10,14--24,1,66,14--24,1--10,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,4,uni,2--6,9--21,1,69,9--21,2--6,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,4,uni,3--8,17--26,1,72,17--26,3--8,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,4,uni,16--23,12--22,1,75,12--22,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,4,uni,20--28,15--25,1,78,15--25,20--28,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,4,uni,7--19,5--13,2,81,7--19,5--13,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,4,uni,18--27,4--11,1,84,4--11,18--27,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,5,uni,3--8,9--21,2,87,3--8,9--21,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
