subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
4,proprio,external,30,22.5,1,uni,18--27,9--21,1,2,5--13,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,25,1,uni,2--6,15--25,1,8,15--25,2--6,30,25,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,35,1,uni,20--28,17--26,2,10,20--28,15--25,35,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,40,1,uni,1--10,5--13,2,11,1--10,14--24,40,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,30,1,uni,7--19,12--22,1,13,12--22,7--19,30,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,37.5,1,uni,3--8,12--22,2,16,3--8,12--22,37.5,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,20,1,uni,16--23,14--24,2,19,16--23,5--13,20,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,22.5,2,uni,18--27,14--24,2,22,18--27,12--22,22.5,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,25,2,uni,2--6,12--22,2,23,2--6,4--11,25,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,35,2,uni,20--28,5--13,1,25,12--22,20--28,30,35,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,30,2,uni,7--19,17--26,1,26,5--13,7--19,30,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,20,2,uni,16--23,9--21,1,31,4--11,16--23,30,20,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,40,2,uni,1--10,15--25,2,40,1--10,14--24,40,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,37.5,2,uni,3--8,4--11,1,41,9--21,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,35,3,uni,20--28,4--11,1,46,9--21,20--28,30,35,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,22.5,3,uni,18--27,12--22,1,49,5--13,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,20,3,uni,16--23,12--22,2,50,16--23,4--11,20,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,37.5,3,uni,3--8,17--26,1,56,9--21,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,30,3,uni,7--19,14--24,1,58,17--26,7--19,30,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,40,3,uni,1--10,14--24,2,59,1--10,12--22,40,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,25,3,uni,2--6,15--25,1,61,15--25,2--6,30,25,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,25,4,uni,2--6,4--11,2,67,2--6,9--21,25,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,20,4,uni,16--23,5--13,2,74,16--23,14--24,20,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,40,4,uni,1--10,14--24,2,77,1--10,5--13,40,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,30,4,uni,7--19,9--21,2,79,7--19,12--22,30,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,37.5,4,uni,3--8,15--25,1,80,17--26,3--8,30,37.5,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,22.5,4,uni,18--27,12--22,2,82,18--27,14--24,22.5,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,35,4,uni,20--28,5--13,1,83,4--11,20--28,30,35,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,22.5,5,uni,18--27,5--13,1,85,12--22,18--27,30,22.5,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,40,5,uni,1--10,12--22,2,88,1--10,17--26,40,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,35,5,uni,20--28,15--25,2,91,20--28,9--21,35,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,37.5,5,uni,3--8,5--13,2,94,3--8,12--22,37.5,30,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,25,5,uni,2--6,9--21,1,97,5--13,2--6,30,25,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,20,5,uni,16--23,4--11,1,101,15--25,16--23,30,20,0,30,1,0,0,NA,NA,NA
4,proprio,external,30,30,5,uni,7--19,14--24,2,103,7--19,14--24,30,30,0,30,1,0,0,NA,NA,NA
4,visual,internal,30,40,1,uni,20--28,4--11,1,3,4--11,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,20,1,uni,3--8,12--22,1,6,14--24,3--8,30,20,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,30,1,uni,18--27,15--25,2,9,18--27,5--13,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,37.5,1,uni,7--19,14--24,2,12,7--19,17--26,37.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,35,1,uni,2--6,5--13,2,15,2--6,15--25,35,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,25,1,uni,16--23,17--26,2,18,16--23,9--21,25,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,22.5,1,uni,1--10,9--21,1,21,12--22,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,37.5,2,uni,7--19,15--25,1,24,12--22,7--19,30,37.5,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,20,2,uni,3--8,4--11,1,27,9--21,3--8,30,20,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,30,2,uni,18--27,14--24,2,30,18--27,17--26,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,22.5,2,uni,1--10,17--26,1,33,14--24,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,40,2,uni,20--28,5--13,2,36,20--28,4--11,40,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,35,2,uni,2--6,9--21,2,39,2--6,5--13,35,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,25,2,uni,16--23,12--22,1,42,15--25,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,40,3,uni,20--28,15--25,1,45,17--26,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,35,3,uni,2--6,17--26,1,48,15--25,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,30,3,uni,18--27,9--21,1,51,12--22,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,20,3,uni,3--8,4--11,2,54,3--8,9--21,20,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,22.5,3,uni,1--10,5--13,1,57,4--11,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,37.5,3,uni,7--19,12--22,2,60,7--19,14--24,37.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,25,3,uni,16--23,14--24,1,63,5--13,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,20,4,uni,3--8,15--25,2,66,3--8,4--11,20,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,22.5,4,uni,1--10,5--13,2,69,1--10,9--21,22.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,35,4,uni,2--6,12--22,2,72,2--6,17--26,35,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,25,4,uni,16--23,4--11,2,75,16--23,5--13,25,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,37.5,4,uni,7--19,9--21,2,78,7--19,12--22,37.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,40,4,uni,20--28,14--24,1,81,14--24,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,30,4,uni,18--27,17--26,1,84,15--25,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,40,5,uni,20--28,12--22,1,87,9--21,20--28,30,40,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,37.5,5,uni,7--19,17--26,2,90,7--19,14--24,37.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,25,5,uni,16--23,5--13,1,93,17--26,16--23,30,25,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,30,5,uni,18--27,9--21,1,96,15--25,18--27,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,20,5,uni,3--8,4--11,1,99,4--11,3--8,30,20,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,22.5,5,uni,1--10,14--24,1,102,12--22,1--10,30,22.5,0,30,0.8,0,0,NA,NA,NA
4,visual,internal,30,35,5,uni,2--6,15--25,1,105,5--13,2--6,30,35,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,30,1,uni,3--8,9--21,2,1,3--8,4--11,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,37.5,1,uni,16--23,4--11,2,4,16--23,4--11,37.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,40,1,uni,18--27,15--25,2,5,18--27,17--26,40,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,20,1,uni,2--6,14--24,2,7,2--6,9--21,20,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,35,1,uni,1--10,17--26,1,14,17--26,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,25,1,uni,20--28,5--13,2,17,20--28,9--21,25,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,22.5,1,uni,7--19,4--11,1,20,14--24,7--19,30,22.5,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,25,2,uni,20--28,4--11,2,28,20--28,15--25,25,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,37.5,2,uni,16--23,17--26,2,29,16--23,14--24,37.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,20,2,uni,2--6,9--21,2,32,2--6,17--26,20,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,35,2,uni,1--10,15--25,2,34,1--10,5--13,35,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,30,2,uni,3--8,5--13,2,35,3--8,9--21,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,40,2,uni,18--27,12--22,2,37,18--27,17--26,40,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,22.5,2,uni,7--19,14--24,2,38,7--19,15--25,22.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,20,3,uni,2--6,17--26,2,43,2--6,12--22,20,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,30,3,uni,3--8,9--21,2,44,3--8,14--24,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,25,3,uni,20--28,4--11,2,47,20--28,5--13,25,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,35,3,uni,1--10,9--21,1,52,15--25,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,37.5,3,uni,16--23,5--13,2,53,16--23,4--11,37.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,22.5,3,uni,7--19,5--13,1,55,14--24,7--19,30,22.5,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,40,3,uni,18--27,15--25,1,62,17--26,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,25,4,uni,20--28,9--21,1,64,15--25,20--28,30,25,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,22.5,4,uni,7--19,14--24,2,65,7--19,9--21,22.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,30,4,uni,3--8,17--26,2,68,3--8,12--22,30,30,0,30,0.8,0,0,NA,NA,NA
