subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,ownership_question,ang_resp,ownership_resp,agency_resp
4,visual,external,30,37.5,4,uni,16--23,15--25,1,70,4--11,16--23,30,37.5,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,35,4,uni,1--10,17--26,2,71,1--10,15--25,35,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,20,4,uni,2--6,4--11,2,73,2--6,5--13,20,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,40,4,uni,18--27,12--22,1,76,17--26,18--27,30,40,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,40,5,uni,18--27,12--22,2,86,18--27,4--11,40,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,37.5,5,uni,16--23,17--26,1,89,17--26,16--23,30,37.5,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,20,5,uni,2--6,17--26,2,92,2--6,14--24,20,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,30,5,uni,3--8,15--25,1,95,15--25,3--8,30,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,22.5,5,uni,7--19,9--21,2,98,7--19,9--21,22.5,30,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,25,5,uni,20--28,14--24,1,100,4--11,20--28,30,25,0,30,0.8,0,0,NA,NA,NA
4,visual,external,30,35,5,uni,1--10,4--11,1,104,5--13,1--10,30,35,0,30,0.8,0,0,NA,NA,NA
4,none,external,30,25,1,none,18--27,14--24,2,1,18--27,14--24,25,30,0,30,0.8,0,1,NA,NA,NA
4,none,external,30,22.5,1,none,3--8,12--22,2,3,3--8,12--22,22.5,30,0,30,0.8,0,1,NA,NA,NA
4,none,external,30,20,1,none,2--6,17--26,2,5,2--6,17--26,20,30,0,30,0.8,0,1,NA,NA,NA
4,none,external,30,30,1,none,20--28,4--11,2,7,20--28,4--11,30,30,0,30,0.8,0,1,NA,NA,NA
4,none,external,30,40,1,none,1--10,5--13,2,9,1--10,5--13,40,30,0,30,0.8,0,1,NA,NA,NA
4,none,external,30,35,1,none,16--23,15--25,2,11,16--23,15--25,35,30,0,30,0.8,0,1,NA,NA,NA
4,none,external,30,37.5,1,none,7--19,9--21,1,13,9--21,7--19,30,37.5,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,20,1,none,16--23,15--25,2,2,16--23,15--25,20,30,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,30,1,none,2--6,17--26,2,4,2--6,17--26,30,30,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,37.5,1,none,18--27,14--24,2,6,18--27,14--24,37.5,30,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,35,1,none,3--8,12--22,1,8,12--22,3--8,30,35,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,25,1,none,1--10,5--13,1,10,5--13,1--10,30,25,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,22.5,1,none,7--19,9--21,2,12,7--19,9--21,22.5,30,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,40,1,none,20--28,4--11,2,14,20--28,4--11,40,30,0,30,0.8,0,1,NA,NA,NA
4,none,internal,30,22.5,1,none,7--19,9--21,2,2,7--19,9--21,22.5,30,0,30,0.8,1,1,NA,NA,NA
4,none,internal,30,30,1,none,2--6,17--26,1,4,17--26,2--6,30,30,0,30,0.8,1,1,NA,NA,NA
4,none,internal,30,35,1,none,3--8,12--22,1,6,12--22,3--8,30,35,0,30,0.8,1,1,NA,NA,NA
4,none,internal,30,25,1,none,1--10,5--13,1,8,5--13,1--10,30,25,0,30,0.8,1,1,NA,NA,NA
4,none,internal,30,37.5,1,none,18--27,14--24,2,10,18--27,14--24,37.5,30,0,30,0.8,1,1,NA,NA,NA
4,none,internal,30,40,1,none,20--28,4--11,2,12,20--28,4--11,40,30,0,30,0.8,1,1,NA,NA,NA
4,none,internal,30,20,1,none,16--23,15--25,1,14,15--25,16--23,30,20,0,30,0.8,1,1,NA,NA,NA
4,none,external,30,22.5,1,none,3--8,12--22,1,1,12--22,3--8,30,22.5,0,30,0.8,1,1,NA,NA,NA
4,none,external,30,40,1,none,1--10,5--13,1,3,5--13,1--10,30,40,0,30,0.8,1,1,NA,NA,NA
4,none,external,30,30,1,none,20--28,4--11,1,5,4--11,20--28,30,30,0,30,0.8,1,1,NA,NA,NA
4,none,external,30,20,1,none,2--6,17--26,1,7,17--26,2--6,30,20,0,30,0.8,1,1,NA,NA,NA
4,none,external,30,35,1,none,16--23,15--25,2,9,16--23,15--25,35,30,0,30,0.8,1,1,NA,NA,NA
4,none,external,30,37.5,1,none,7--19,9--21,2,11,7--19,9--21,37.5,30,0,30,0.8,1,1,NA,NA,NA
4,none,external,30,25,1,none,18--27,14--24,2,13,18--27,14--24,25,30,0,30,0.8,1,1,NA,NA,NA
