subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
9,visual,external,30,35,1,uni,3--8,14--24,2,1,3--8,14--24,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,25,1,uni,16--23,12--22,1,9,12--22,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,20,1,uni,2--6,15--25,1,10,15--25,2--6,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,37.5,1,uni,20--28,9--21,2,14,20--28,9--21,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,40,1,uni,7--19,17--26,1,22,17--26,7--19,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,22.5,1,uni,18--27,5--13,2,25,18--27,5--13,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,30,1,uni,1--10,5--13,2,26,1--10,5--13,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,25,2,uni,16--23,14--24,1,30,14--24,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,37.5,2,uni,20--28,5--13,1,33,5--13,20--28,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,40,2,uni,7--19,5--13,2,37,7--19,5--13,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,30,2,uni,1--10,9--21,2,45,1--10,9--21,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,20,2,uni,2--6,15--25,2,49,2--6,15--25,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,22.5,2,uni,18--27,9--21,1,50,9--21,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,35,2,uni,3--8,4--11,2,54,3--8,4--11,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,25,3,uni,16--23,12--22,1,57,12--22,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,22.5,3,uni,18--27,17--26,1,65,17--26,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,35,3,uni,3--8,5--13,2,66,3--8,5--13,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,37.5,3,uni,20--28,14--24,1,69,14--24,20--28,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,30,3,uni,1--10,9--21,1,74,9--21,1--10,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,20,3,uni,2--6,5--13,1,78,5--13,2--6,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,40,3,uni,7--19,15--25,2,82,7--19,15--25,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,30,4,uni,1--10,14--24,1,90,14--24,1--10,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,25,4,uni,16--23,15--25,1,93,15--25,16--23,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,40,4,uni,7--19,9--21,1,94,9--21,7--19,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,35,4,uni,3--8,12--22,2,97,3--8,12--22,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,20,4,uni,2--6,12--22,2,98,2--6,12--22,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,22.5,4,uni,18--27,15--25,1,101,15--25,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,37.5,4,uni,20--28,4--11,2,109,20--28,4--11,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,22.5,5,uni,18--27,12--22,1,117,12--22,18--27,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,37.5,5,uni,20--28,15--25,2,118,20--28,15--25,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,20,5,uni,2--6,17--26,2,126,2--6,17--26,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,40,5,uni,7--19,17--26,1,129,17--26,7--19,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,25,5,uni,16--23,15--25,2,134,16--23,15--25,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,35,5,uni,3--8,5--13,1,137,5--13,3--8,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,external,30,30,5,uni,1--10,12--22,2,138,1--10,12--22,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,proprio,internal,30,35,1,uni,1--10,9--21,2,3,1--10,9--21,35,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,22.5,1,uni,2--6,15--25,2,8,2--6,15--25,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,37.5,1,uni,3--8,9--21,1,11,9--21,3--8,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,40,1,uni,20--28,12--22,1,15,12--22,20--28,30,40,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,30,1,uni,16--23,14--24,1,20,14--24,16--23,30,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,25,1,uni,18--27,15--25,1,23,15--25,18--27,30,25,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,20,1,uni,7--19,17--26,2,27,7--19,17--26,20,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,25,2,uni,18--27,12--22,1,31,12--22,18--27,30,25,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,20,2,uni,7--19,14--24,2,32,7--19,14--24,20,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,37.5,2,uni,3--8,4--11,1,35,4--11,3--8,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,35,2,uni,1--10,12--22,2,43,1--10,12--22,35,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,40,2,uni,20--28,5--13,1,44,5--13,20--28,30,40,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,22.5,2,uni,2--6,15--25,2,47,2--6,15--25,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,30,2,uni,16--23,17--26,2,55,16--23,17--26,30,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,22.5,3,uni,2--6,4--11,1,60,4--11,2--6,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,37.5,3,uni,3--8,14--24,2,63,3--8,14--24,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,25,3,uni,18--27,9--21,1,64,9--21,18--27,30,25,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,35,3,uni,1--10,9--21,1,71,9--21,1--10,30,35,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,20,3,uni,7--19,12--22,1,75,12--22,7--19,30,20,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,30,3,uni,16--23,5--13,2,80,16--23,5--13,30,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,40,3,uni,20--28,17--26,2,84,20--28,17--26,40,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,25,4,uni,18--27,9--21,1,92,9--21,18--27,30,25,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,35,4,uni,1--10,12--22,2,95,1--10,12--22,35,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,37.5,4,uni,3--8,15--25,2,99,3--8,15--25,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,20,4,uni,7--19,14--24,1,100,14--24,7--19,30,20,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,30,4,uni,16--23,4--11,2,108,16--23,4--11,30,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,22.5,4,uni,2--6,5--13,1,111,5--13,2--6,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,40,4,uni,20--28,15--25,2,112,20--28,15--25,40,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,35,5,uni,1--10,14--24,2,115,1--10,14--24,35,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,20,5,uni,7--19,9--21,2,119,7--19,9--21,20,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,40,5,uni,20--28,17--26,2,120,20--28,17--26,40,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,25,5,uni,18--27,12--22,1,123,12--22,18--27,30,25,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,30,5,uni,16--23,4--11,2,127,16--23,4--11,30,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,37.5,5,uni,3--8,15--25,1,128,15--25,3--8,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,internal,30,22.5,5,uni,2--6,15--25,1,140,15--25,2--6,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
9,visual,internal,30,40,1,uni,1--10,5--13,2,4,1--10,5--13,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,35,1,uni,18--27,4--11,2,7,18--27,4--11,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,22.5,1,uni,20--28,5--13,2,12,20--28,5--13,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,20,1,uni,3--8,4--11,1,16,4--11,3--8,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,30,1,uni,2--6,14--24,1,19,14--24,2--6,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,25,1,uni,7--19,12--22,2,24,7--19,12--22,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,37.5,1,uni,16--23,17--26,1,28,17--26,16--23,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,25,2,uni,7--19,5--13,1,36,5--13,7--19,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,22.5,2,uni,20--28,4--11,1,39,4--11,20--28,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,30,2,uni,2--6,9--21,2,40,2--6,9--21,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,20,2,uni,3--8,17--26,1,48,17--26,3--8,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,37.5,2,uni,16--23,9--21,1,51,9--21,16--23,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,35,2,uni,18--27,14--24,2,52,18--27,14--24,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,40,2,uni,1--10,15--25,2,56,1--10,15--25,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,35,3,uni,18--27,4--11,1,59,4--11,18--27,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,37.5,3,uni,16--23,5--13,1,67,5--13,16--23,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,40,3,uni,1--10,15--25,2,68,1--10,15--25,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,22.5,3,uni,20--28,12--22,2,72,20--28,12--22,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,25,3,uni,7--19,15--25,2,76,7--19,15--25,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,20,3,uni,3--8,17--26,2,79,3--8,17--26,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,30,3,uni,2--6,14--24,2,83,2--6,14--24,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,37.5,4,uni,16--23,9--21,1,87,9--21,16--23,30,37.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,20,4,uni,3--8,17--26,2,88,3--8,17--26,20,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,25,4,uni,7--19,14--24,1,91,14--24,7--19,30,25,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,22.5,4,uni,20--28,4--11,2,96,20--28,4--11,22.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,40,4,uni,1--10,5--13,2,103,1--10,5--13,40,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,30,4,uni,2--6,12--22,1,104,12--22,2--6,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,35,4,uni,18--27,17--26,2,107,18--27,17--26,35,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,20,5,uni,3--8,9--21,1,116,9--21,3--8,30,20,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,35,5,uni,18--27,5--13,1,124,5--13,18--27,30,35,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,37.5,5,uni,16--23,5--13,2,131,16--23,5--13,37.5,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,25,5,uni,7--19,12--22,2,132,7--19,12--22,25,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,22.5,5,uni,20--28,4--11,1,135,4--11,20--28,30,22.5,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,40,5,uni,1--10,17--26,1,136,17--26,1--10,30,40,0,30,0.4,0,0,0,0,NA,NA,NA
9,visual,internal,30,30,5,uni,2--6,14--24,2,139,2--6,14--24,30,30,0,30,0.4,0,0,0,0,NA,NA,NA
9,proprio,external,30,30,1,uni,20--28,14--24,2,2,20--28,14--24,30,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,40,1,uni,18--27,15--25,2,5,18--27,15--25,40,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,37.5,1,uni,2--6,4--11,1,6,4--11,2--6,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,35,1,uni,7--19,9--21,1,13,9--21,7--19,30,35,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,25,1,uni,3--8,12--22,1,17,12--22,3--8,30,25,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,22.5,1,uni,1--10,4--11,2,18,1--10,4--11,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,20,1,uni,16--23,17--26,2,21,16--23,17--26,20,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,20,2,uni,16--23,14--24,1,29,14--24,16--23,30,20,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,22.5,2,uni,1--10,12--22,2,34,1--10,12--22,22.5,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,37.5,2,uni,2--6,15--25,1,38,15--25,2--6,30,37.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,30,2,uni,20--28,17--26,1,41,17--26,20--28,30,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,35,2,uni,7--19,4--11,1,42,4--11,7--19,30,35,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,25,2,uni,3--8,17--26,2,46,3--8,17--26,25,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,40,2,uni,18--27,12--22,2,53,18--27,12--22,40,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,40,3,uni,18--27,4--11,2,58,18--27,4--11,40,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,37.5,3,uni,2--6,12--22,2,61,2--6,12--22,37.5,30,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,22.5,3,uni,1--10,4--11,1,62,4--11,1--10,30,22.5,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,25,3,uni,3--8,14--24,1,70,14--24,3--8,30,25,0,30,1,0,0,0,0,NA,NA,NA
9,proprio,external,30,35,3,uni,7--19,9--21,1,73,9--21,7--19,30,35,0,30,1,0,0,0,0,NA,NA,NA
