subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
5,visual,external,30,37.5,1,uni,7--19,12--22,2,1,7--19,12--22,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,20,1,uni,2--6,4--11,1,3,4--11,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,35,1,uni,16--23,17--26,1,5,17--26,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,22.5,1,uni,3--8,15--25,2,7,3--8,15--25,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,30,1,uni,20--28,14--24,2,9,20--28,14--24,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,40,1,uni,1--10,5--13,2,11,1--10,5--13,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,25,1,uni,18--27,9--21,1,13,9--21,18--27,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,25,2,uni,18--27,14--24,1,15,14--24,18--27,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,37.5,2,uni,7--19,17--26,2,17,7--19,17--26,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,35,2,uni,16--23,15--25,1,19,15--25,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,20,2,uni,2--6,5--13,2,21,2--6,5--13,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,30,2,uni,20--28,4--11,2,23,20--28,4--11,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,40,2,uni,1--10,12--22,1,25,12--22,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,22.5,2,uni,3--8,9--21,1,27,9--21,3--8,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,40,3,uni,1--10,17--26,2,29,1--10,17--26,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,35,3,uni,16--23,5--13,1,31,5--13,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,37.5,3,uni,7--19,9--21,1,33,9--21,7--19,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,22.5,3,uni,3--8,4--11,1,35,4--11,3--8,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,20,3,uni,2--6,14--24,2,37,2--6,14--24,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,30,3,uni,20--28,12--22,2,39,20--28,12--22,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,25,3,uni,18--27,15--25,2,41,18--27,15--25,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,30,4,uni,20--28,17--26,1,43,17--26,20--28,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,35,4,uni,16--23,12--22,2,45,16--23,12--22,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,20,4,uni,2--6,4--11,1,47,4--11,2--6,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,40,4,uni,1--10,15--25,1,49,15--25,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,37.5,4,uni,7--19,9--21,1,51,9--21,7--19,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,25,4,uni,18--27,5--13,2,53,18--27,5--13,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,22.5,4,uni,3--8,14--24,1,55,14--24,3--8,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,30,5,uni,20--28,14--24,1,57,14--24,20--28,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,40,5,uni,1--10,9--21,1,59,9--21,1--10,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,37.5,5,uni,7--19,4--11,2,61,7--19,4--11,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,22.5,5,uni,3--8,17--26,2,63,3--8,17--26,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,35,5,uni,16--23,5--13,1,65,5--13,16--23,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,25,5,uni,18--27,15--25,2,67,18--27,15--25,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,external,30,20,5,uni,2--6,12--22,2,69,2--6,12--22,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,1,uni,3--8,15--25,1,2,15--25,3--8,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,1,uni,2--6,17--26,1,4,17--26,2--6,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,1,uni,20--28,14--24,1,6,14--24,20--28,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,1,uni,16--23,9--21,1,8,9--21,16--23,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,1,uni,1--10,5--13,1,10,5--13,1--10,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,1,uni,18--27,12--22,1,12,12--22,18--27,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,1,uni,7--19,4--11,2,14,7--19,4--11,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,2,uni,16--23,17--26,1,16,17--26,16--23,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,2,uni,3--8,5--13,2,18,3--8,5--13,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,2,uni,7--19,14--24,2,20,7--19,14--24,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,2,uni,2--6,12--22,1,22,12--22,2--6,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,2,uni,18--27,15--25,2,24,18--27,15--25,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,2,uni,20--28,4--11,2,26,20--28,4--11,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,2,uni,1--10,9--21,2,28,1--10,9--21,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,3,uni,16--23,4--11,2,30,16--23,4--11,20,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,3,uni,20--28,14--24,1,32,14--24,20--28,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,3,uni,3--8,15--25,2,34,3--8,15--25,35,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,3,uni,18--27,9--21,1,36,9--21,18--27,30,37.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,3,uni,2--6,17--26,2,38,2--6,17--26,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,3,uni,1--10,5--13,2,40,1--10,5--13,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,3,uni,7--19,12--22,1,42,12--22,7--19,30,22.5,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,20,4,uni,16--23,4--11,1,44,4--11,16--23,30,20,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,4,uni,1--10,5--13,2,46,1--10,5--13,25,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,22.5,4,uni,7--19,17--26,2,48,7--19,17--26,22.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,4,uni,20--28,15--25,1,50,15--25,20--28,30,40,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,4,uni,2--6,12--22,2,52,2--6,12--22,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,37.5,4,uni,18--27,14--24,2,54,18--27,14--24,37.5,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,4,uni,3--8,9--21,1,56,9--21,3--8,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,30,5,uni,2--6,14--24,1,58,14--24,2--6,30,30,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,25,5,uni,1--10,4--11,1,60,4--11,1--10,30,25,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,35,5,uni,3--8,15--25,1,62,15--25,3--8,30,35,0,30,0.8,0,0,0,0,NA,NA,NA
5,visual,internal,30,40,5,uni,20--28,9--21,2,64,20--28,9--21,40,30,0,30,0.8,0,0,0,0,NA,NA,NA
