subj,mod,co,standard,stim,block,mod2,stim_letter,standard_letter,ord.st,trial,stim1,stim2,stim1_let,stim2_let,incongruency,visual_real_standard,blur,arm,dot,ownership_question,agency_question,ang_resp,ownership_resp,agency_resp
1,visual,external,30,30,2,uni,20--28,14--24,1,23,14--24,20--28,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,20,2,uni,2--6,17--26,1,25,17--26,2--6,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,35,2,uni,16--23,4--11,1,27,4--11,16--23,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,25,3,uni,18--27,9--21,2,29,18--27,9--21,25,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,30,3,uni,20--28,12--22,2,31,20--28,12--22,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,37.5,3,uni,7--19,15--25,1,33,15--25,7--19,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,22.5,3,uni,3--8,17--26,2,35,3--8,17--26,22.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,20,3,uni,2--6,14--24,1,37,14--24,2--6,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,40,3,uni,1--10,4--11,1,39,4--11,1--10,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,35,3,uni,16--23,5--13,2,41,16--23,5--13,35,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,22.5,4,uni,3--8,15--25,2,43,3--8,15--25,22.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,37.5,4,uni,7--19,9--21,2,45,7--19,9--21,37.5,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,20,4,uni,2--6,14--24,1,47,14--24,2--6,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,40,4,uni,1--10,12--22,1,49,12--22,1--10,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,35,4,uni,16--23,5--13,1,51,5--13,16--23,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,25,4,uni,18--27,17--26,1,53,17--26,18--27,30,25,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,30,4,uni,20--28,4--11,2,55,20--28,4--11,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,22.5,5,uni,3--8,14--24,1,57,14--24,3--8,30,22.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,30,5,uni,20--28,12--22,1,59,12--22,20--28,30,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,25,5,uni,18--27,9--21,2,61,18--27,9--21,25,30,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,35,5,uni,16--23,4--11,1,63,4--11,16--23,30,35,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,40,5,uni,1--10,5--13,1,65,5--13,1--10,30,40,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,37.5,5,uni,7--19,17--26,1,67,17--26,7--19,30,37.5,0,30,0.8,0,1,0,0,NA,NA,NA
1,visual,external,30,20,5,uni,2--6,15--25,1,69,15--25,2--6,30,20,0,30,0.8,0,1,0,0,NA,NA,NA
